month,region,merchant_category,card_type,transaction_volume,avg_transaction_usd,interchange_rate,revenue_usd,acceptance_rate
2024-01-01,Asia Pacific,Healthcare,Prepaid,807868,27.78,0.016,359097.57,0.906
2024-01-01,Asia Pacific,E-commerce,Credit,4243063,84.52,0.0246,8821788.94,0.9166
2024-01-01,Asia Pacific,E-commerce,Debit,3256008,44.1,0.0234,3359775.29,0.9161
2024-01-01,Asia Pacific,E-commerce,Prepaid,913783,28.98,0.0246,651361.12,0.9039
2024-01-01,Asia Pacific,Fuel,Credit,4409845,84.16,0.0143,5307122.55,0.902
2024-01-01,Asia Pacific,Fuel,Debit,3167453,41.01,0.0149,1935650.82,0.9152
2024-01-01,Asia Pacific,Fuel,Prepaid,843881,29.28,0.0144,355813.18,0.919
2024-01-01,Latin America,Retail,Credit,2098559,82.07,0.0182,3134401.57,0.8665
2024-01-01,Latin America,Retail,Debit,1633990,42.18,0.0181,1247400.51,0.8743
2024-01-01,Latin America,Retail,Prepaid,371658,28.01,0.0181,188409.96,0.8761
2024-01-01,Latin America,Travel,Credit,1965993,81.43,0.0226,3618094.4,0.8645
2024-01-01,Latin America,Travel,Debit,1543112,40.89,0.0222,1400698.83,0.8634
2024-01-01,Latin America,Travel,Prepaid,424978,28.26,0.0217,260657.27,0.8721
2024-01-01,Latin America,Dining,Credit,2053118,85.19,0.0196,3428287.4,0.8776
2024-01-01,Latin America,Dining,Debit,1448075,40.9,0.0198,1172751.23,0.8682
2024-01-01,Latin America,Dining,Prepaid,410988,27.49,0.0193,218015.25,0.8744
2024-01-01,Latin America,Healthcare,Credit,1937742,89.24,0.016,2766688.27,0.8786
2024-01-01,Latin America,Healthcare,Debit,1416217,41.01,0.0157,911926.65,0.8775
2024-01-01,Latin America,Healthcare,Prepaid,424375,27.63,0.0164,192330.44,0.864
2024-01-01,Latin America,E-commerce,Credit,2191070,85.95,0.0243,4576196.59,0.8785
2024-01-01,Latin America,E-commerce,Debit,1557447,43.33,0.0233,1572448.03,0.8665
2024-01-01,Latin America,E-commerce,Prepaid,410456,26.98,0.0246,272382.69,0.8633
2024-01-01,Latin America,Fuel,Credit,1949221,83.06,0.0145,2347723.48,0.8718
2024-01-01,Latin America,Fuel,Debit,1572923,42.56,0.0142,950684.02,0.8659
2024-01-01,Latin America,Fuel,Prepaid,399266,28.97,0.0149,172338.96,0.8629
2024-01-01,Middle East & Africa,Retail,Credit,1284103,80.78,0.0178,1846394.32,0.8345
2024-01-01,Middle East & Africa,Retail,Debit,970841,43.01,0.0177,739133.39,0.8309
2024-01-01,Middle East & Africa,Retail,Prepaid,247107,26.81,0.0175,115939.38,0.8364
2024-01-01,Middle East & Africa,Travel,Credit,1384017,87.84,0.0221,2686866.49,0.8314
2024-01-01,Middle East & Africa,Travel,Debit,896510,41.19,0.0215,794026.11,0.8366
2024-01-01,Middle East & Africa,Travel,Prepaid,261844,29.12,0.0225,171542.45,0.8252
2024-01-01,Middle East & Africa,Dining,Credit,1247902,87.38,0.019,2071815.29,0.8364
2024-01-01,Middle East & Africa,Dining,Debit,935769,40.55,0.0196,743714.42,0.8371
2024-01-01,Middle East & Africa,Dining,Prepaid,264584,28.87,0.0201,153535.51,0.8363
2024-01-01,Middle East & Africa,Healthcare,Credit,1201155,83.57,0.0162,1626234.07,0.8372
2024-01-01,Middle East & Africa,Healthcare,Debit,995939,43.31,0.0163,703007.34,0.8261
2024-01-01,Middle East & Africa,Healthcare,Prepaid,261494,29.04,0.0156,118471.49,0.836
2024-01-01,Middle East & Africa,E-commerce,Credit,1242266,84.66,0.0245,2576749.32,0.8268
2024-01-01,Middle East & Africa,E-commerce,Debit,994892,40.0,0.0236,939163.74,0.8249
2024-01-01,Middle East & Africa,E-commerce,Prepaid,243130,29.31,0.0245,174574.29,0.8263
2024-01-01,Middle East & Africa,Fuel,Credit,1329428,89.09,0.0144,1705513.51,0.8306
2024-01-01,Middle East & Africa,Fuel,Debit,1016764,43.98,0.0142,634923.05,0.8247
2024-01-01,Middle East & Africa,Fuel,Prepaid,268501,26.9,0.0143,103297.82,0.8289
2024-02-01,North America,Retail,Credit,6494052,85.9,0.0178,9929856.19,0.9602
2024-02-01,North America,Retail,Debit,4494143,40.97,0.0181,3332649.74,0.964
2024-02-01,North America,Retail,Prepaid,1108742,28.11,0.0185,576536.76,0.9642
2024-02-01,North America,Travel,Credit,6507489,83.85,0.0222,12112900.71,0.9517
2024-02-01,North America,Travel,Debit,4698547,41.22,0.0218,4221936.34,0.9667
2024-02-01,North America,Travel,Prepaid,1247161,27.47,0.0217,743323.09,0.9582
2024-02-01,North America,Dining,Credit,6167126,81.83,0.0193,9740090.93,0.9585
2024-02-01,North America,Dining,Debit,4900814,43.69,0.0197,4218268.47,0.9622
2024-02-01,North America,Dining,Prepaid,1166429,26.6,0.0196,608155.41,0.9559
2024-02-01,North America,Healthcare,Credit,6194680,86.31,0.0161,8608570.03,0.9593
2024-02-01,North America,Healthcare,Debit,4535870,41.89,0.0157,2982932.79,0.9677
2024-02-01,North America,Healthcare,Prepaid,1261864,26.84,0.0157,531683.38,0.9603
2024-02-01,North America,E-commerce,Credit,6398219,87.71,0.0238,13355751.54,0.9648
2024-02-01,North America,E-commerce,Debit,4704816,40.74,0.0236,4523105.46,0.9509
2024-02-01,North America,E-commerce,Prepaid,1155613,28.98,0.024,803731.58,0.9518
2024-02-01,North America,Fuel,Credit,6179196,82.4,0.0146,7434063.5,0.9638
2024-02-01,North America,Fuel,Debit,4574121,42.66,0.0143,2790089.6,0.9505
2024-02-01,North America,Fuel,Prepaid,1253177,26.9,0.0147,495515.12,0.9586
2024-02-01,Europe,Retail,Credit,4455053,85.15,0.0185,7018151.27,0.9315
2024-02-01,Europe,Retail,Debit,3295892,41.82,0.0184,2535975.88,0.9457
2024-02-01,Europe,Retail,Prepaid,927827,28.27,0.0185,485201.96,0.9485
2024-02-01,Europe,Travel,Credit,4992992,86.86,0.0221,9584999.88,0.9401
2024-02-01,Europe,Travel,Debit,3615290,43.67,0.0221,3489003.78,0.9446
2024-02-01,Europe,Travel,Prepaid,899938,27.29,0.0217,532981.34,0.9426
2024-02-01,Europe,Dining,Credit,4898557,86.08,0.0195,8222269.82,0.9358
2024-02-01,Europe,Dining,Debit,3201554,41.04,0.0192,2522796.08,0.9366
2024-02-01,Europe,Dining,Prepaid,909405,27.25,0.0191,473279.7,0.9436
2024-02-01,Europe,Healthcare,Credit,4853904,84.21,0.0156,6376805.1,0.9408
2024-02-01,Europe,Healthcare,Debit,3387407,41.66,0.0157,2215818.98,0.9476
2024-02-01,Europe,Healthcare,Prepaid,915755,29.0,0.0162,430204.63,0.945
2024-02-01,Europe,E-commerce,Credit,4608791,83.74,0.0233,8992400.3,0.9448
2024-02-01,Europe,E-commerce,Debit,3627860,41.66,0.0247,3733065.28,0.9447
2024-02-01,Europe,E-commerce,Prepaid,910269,27.22,0.0241,597083.62,0.9347
2024-02-01,Europe,Fuel,Credit,4650481,83.61,0.0141,5482266.62,0.9434
2024-02-01,Europe,Fuel,Debit,3381112,41.86,0.0142,2009919.44,0.933
2024-02-01,Europe,Fuel,Prepaid,921275,27.7,0.0141,359864.68,0.9412
2024-02-01,Asia Pacific,Retail,Credit,4101908,81.9,0.0182,6114479.26,0.9093
2024-02-01,Asia Pacific,Retail,Debit,3009577,40.79,0.0179,2197360.24,0.9068
2024-02-01,Asia Pacific,Retail,Prepaid,889069,28.71,0.0179,456830.98,0.916
2024-02-01,Asia Pacific,Travel,Credit,4261785,80.91,0.0214,7379603.86,0.9107
2024-02-01,Asia Pacific,Travel,Debit,3502305,42.63,0.0218,3254857.32,0.9151
2024-02-01,Asia Pacific,Travel,Prepaid,874121,29.26,0.0223,570341.01,0.9045
2024-02-01,Asia Pacific,Dining,Credit,4097135,81.82,0.0191,6403072.13,0.9131
2024-02-01,Asia Pacific,Dining,Debit,3276111,42.84,0.0192,2694551.68,0.9149
2024-02-01,Asia Pacific,Dining,Prepaid,808038,28.69,0.0196,454445.55,0.903
2024-02-01,Asia Pacific,Healthcare,Credit,4664393,81.67,0.0164,6247343.23,0.9014
2024-02-01,Asia Pacific,Healthcare,Debit,3145350,43.92,0.0162,2238149.53,0.9081
2024-02-01,Asia Pacific,Healthcare,Prepaid,882758,28.53,0.0156,392938.57,0.9123
2024-02-01,Asia Pacific,E-commerce,Credit,4155018,87.98,0.0244,8919372.79,0.9118
2024-02-01,Asia Pacific,E-commerce,Debit,3046297,43.19,0.0247,3249547.74,0.9072
2024-02-01,Asia Pacific,E-commerce,Prepaid,843620,28.02,0.0238,562523.48,0.9071
2024-02-01,Asia Pacific,Fuel,Credit,4685888,81.65,0.0148,5662318.3,0.9184
2024-02-01,Asia Pacific,Fuel,Debit,3313270,42.87,0.0148,2102224.44,0.9088
2024-02-01,Asia Pacific,Fuel,Prepaid,885323,27.36,0.0149,360864.59,0.9156
2024-02-01,Latin America,Retail,Credit,2101074,84.45,0.018,3193932.72,0.874
2024-02-01,Latin America,Retail,Debit,1469528,43.39,0.0184,1173210.75,0.8628
2024-02-01,Latin America,Retail,Prepaid,426122,27.9,0.0177,210440.76,0.8719
2024-02-01,Latin America,Travel,Credit,2047886,87.98,0.0214,3855838.24,0.8645
2024-02-01,Latin America,Travel,Debit,1455787,41.33,0.0224,1347737.15,0.8766
2024-02-01,Latin America,Travel,Prepaid,414527,26.63,0.0217,239528.95,0.8778
2024-02-01,Latin America,Dining,Credit,1949860,84.9,0.0198,3277866.07,0.8745
2024-02-01,Latin America,Dining,Debit,1572621,41.96,0.0197,1299992.3,0.8751
2024-02-01,Latin America,Dining,Prepaid,375451,28.54,0.0192,205713.54,0.8666
2024-02-01,Latin America,Healthcare,Credit,2115570,85.26,0.016,2886071.98,0.8687
2024-02-01,Latin America,Healthcare,Debit,1586130,42.85,0.0158,1073907.48,0.866
2024-02-01,Latin America,Healthcare,Prepaid,385626,27.14,0.0156,163263.28,0.8634
2024-02-01,Latin America,E-commerce,Credit,2100303,82.32,0.0244,4218878.8,0.8651
2024-02-01,Latin America,E-commerce,Debit,1522221,44.0,0.0243,1627623.41,0.8704
2024-02-01,Latin America,E-commerce,Prepaid,387656,27.14,0.0234,246223.04,0.8653
2024-02-01,Latin America,Fuel,Credit,1981211,85.29,0.0141,2382586.7,0.8661
2024-02-01,Latin America,Fuel,Debit,1641889,42.83,0.0145,1019650.37,0.8635
2024-02-01,Latin America,Fuel,Prepaid,425275,29.04,0.0145,179097.09,0.8713
2024-02-01,Middle East & Africa,Retail,Credit,1298809,82.32,0.0179,1913763.8,0.8226
2024-02-01,Middle East & Africa,Retail,Debit,1021109,43.35,0.0219,969469.68,0.8284
2024-02-01,Middle East & Africa,Retail,Prepaid,233895,26.75,0.0181,113246.56,0.8242
2024-02-01,Middle East & Africa,Travel,Credit,1318322,89.2,0.0217,2551748.28,0.8237
2024-02-01,Middle East & Africa,Travel,Debit,994156,43.22,0.0221,949604.45,0.8254
2024-02-01,Middle East & Africa,Travel,Prepaid,251906,27.84,0.0219,153583.98,0.836
2024-02-01,Middle East & Africa,Dining,Credit,1407534,86.03,0.0193,2337005.46,0.8318
2024-02-01,Middle East & Africa,Dining,Debit,990439,40.77,0.02,807657.63,0.8252
2024-02-01,Middle East & Africa,Dining,Prepaid,257442,27.09,0.0191,133189.05,0.8229
2024-02-01,Middle East & Africa,Healthcare,Credit,1201342,85.8,0.016,1649152.23,0.8265
2024-02-01,Middle East & Africa,Healthcare,Debit,912821,42.85,0.0162,633690.63,0.8292
2024-02-01,Middle East & Africa,Healthcare,Prepaid,258525,28.81,0.0164,122131.62,0.8321
2024-02-01,Middle East & Africa,E-commerce,Credit,1338860,84.36,0.0246,2778598.49,0.8307
2024-02-01,Middle East & Africa,E-commerce,Debit,976330,43.37,0.0246,1041692.88,0.8229
2024-02-01,Middle East & Africa,E-commerce,Prepaid,237583,28.7,0.0237,161585.15,0.8311
2024-02-01,Middle East & Africa,Fuel,Credit,1261055,86.6,0.0142,1550811.94,0.8333
2024-02-01,Middle East & Africa,Fuel,Debit,1021355,41.97,0.0145,621619.25,0.823
2024-02-01,Middle East & Africa,Fuel,Prepaid,232520,27.5,0.0144,92086.29,0.8259
2024-03-01,North America,Retail,Credit,5878636,87.86,0.0185,9554720.46,0.9614
2024-03-01,North America,Retail,Debit,4928004,42.72,0.0185,3895026.74,0.9556
2024-03-01,North America,Retail,Prepaid,1120618,27.92,0.0183,572510.81,0.9629
2024-03-01,North America,Travel,Credit,6708650,85.73,0.0216,12422182.59,0.9626
2024-03-01,North America,Travel,Debit,4590394,41.36,0.0215,4082103.73,0.9568
2024-03-01,North America,Travel,Prepaid,1242526,27.52,0.0225,769468.56,0.9637
2024-03-01,North America,Dining,Credit,6076785,87.67,0.02,10654464.97,0.961
2024-03-01,North America,Dining,Debit,4563257,41.26,0.0193,3633605.52,0.969
2024-03-01,North America,Dining,Prepaid,1191054,29.37,0.0195,682058.63,0.963
2024-03-01,North America,Healthcare,Credit,6332785,82.34,0.0159,8291368.36,0.9573
2024-03-01,North America,Healthcare,Debit,4785077,43.09,0.0161,3319793.4,0.9543
2024-03-01,North America,Healthcare,Prepaid,1219125,27.83,0.0164,556357.8,0.9638
2024-03-01,North America,E-commerce,Credit,5908928,85.93,0.0247,12540858.29,0.955
2024-03-01,North America,E-commerce,Debit,4345238,42.22,0.0241,4421231.38,0.9522
2024-03-01,North America,E-commerce,Prepaid,1304869,27.89,0.0246,895328.73,0.9527
2024-03-01,North America,Fuel,Credit,6624184,86.84,0.0145,8341148.38,0.9602
2024-03-01,North America,Fuel,Debit,4429848,44.02,0.0148,2885833.37,0.9551
2024-03-01,North America,Fuel,Prepaid,1219521,29.18,0.0144,512454.58,0.9602
2024-03-01,Europe,Retail,Credit,5003751,83.1,0.0184,7650760.77,0.9455
2024-03-01,Europe,Retail,Debit,3400444,42.03,0.0185,2644189.39,0.946
2024-03-01,Europe,Retail,Prepaid,875678,28.24,0.0178,440232.21,0.9494
2024-03-01,Europe,Travel,Credit,4709620,85.33,0.0215,8640036.2,0.9371
2024-03-01,Europe,Travel,Debit,3475996,41.81,0.0221,3212011.79,0.9366
2024-03-01,Europe,Travel,Prepaid,862007,28.2,0.0223,542101.59,0.935
2024-03-01,Europe,Dining,Credit,4925418,87.08,0.019,8149202.01,0.9439
2024-03-01,Europe,Dining,Debit,3619126,42.69,0.0194,2997133.47,0.946
2024-03-01,Europe,Dining,Prepaid,976991,26.7,0.0195,508740.0,0.94
2024-03-01,Europe,Healthcare,Credit,4785507,88.18,0.0164,6920619.04,0.9389
2024-03-01,Europe,Healthcare,Debit,3461674,42.93,0.016,2377990.81,0.9383
2024-03-01,Europe,Healthcare,Prepaid,929666,27.91,0.0157,407434.31,0.9488
2024-03-01,Europe,E-commerce,Credit,4595587,86.27,0.0243,9634412.67,0.9466
2024-03-01,Europe,E-commerce,Debit,3641703,41.5,0.0245,3702348.16,0.9366
2024-03-01,Europe,E-commerce,Prepaid,938947,29.04,0.0244,665376.54,0.9313
2024-03-01,Europe,Fuel,Credit,4391688,88.58,0.0146,5679494.74,0.9494
2024-03-01,Europe,Fuel,Debit,3583470,40.31,0.0144,2080253.93,0.9425
2024-03-01,Europe,Fuel,Prepaid,961280,28.54,0.0145,397851.15,0.9476
2024-03-01,Asia Pacific,Retail,Credit,4131716,83.24,0.0183,6294084.1,0.9077
2024-03-01,Asia Pacific,Retail,Debit,3071205,42.28,0.018,2337138.36,0.9153
2024-03-01,Asia Pacific,Retail,Prepaid,811558,29.04,0.0175,412410.35,0.9122
2024-03-01,Asia Pacific,Travel,Credit,4270608,81.97,0.0225,7876052.85,0.9093
2024-03-01,Asia Pacific,Travel,Debit,3127678,39.94,0.0217,2710716.24,0.9155
2024-03-01,Asia Pacific,Travel,Prepaid,911800,27.04,0.0222,547389.8,0.9089
2024-03-01,Asia Pacific,Dining,Credit,4345270,86.18,0.0196,7339800.6,0.9086
2024-03-01,Asia Pacific,Dining,Debit,3125657,40.74,0.0199,2533846.84,0.9079
2024-03-01,Asia Pacific,Dining,Prepaid,854498,28.2,0.0192,462682.1,0.9114
2024-03-01,Asia Pacific,Healthcare,Credit,4806579,89.06,0.0158,6763760.02,0.9129
2024-03-01,Asia Pacific,Healthcare,Debit,3138359,42.78,0.0161,2161587.95,0.9145
2024-03-01,Asia Pacific,Healthcare,Prepaid,794979,27.99,0.0161,358259.25,0.9174
2024-03-01,Asia Pacific,E-commerce,Credit,4302946,85.91,0.0244,9019858.13,0.9073
2024-03-01,Asia Pacific,E-commerce,Debit,3327008,42.75,0.0242,3441683.24,0.914
2024-03-01,Asia Pacific,E-commerce,Prepaid,878621,28.36,0.0245,610463.96,0.9173
2024-03-01,Asia Pacific,Fuel,Credit,4559680,84.5,0.0143,5509493.53,0.9114
2024-03-01,Asia Pacific,Fuel,Debit,3376884,41.14,0.0141,1958817.08,0.9145
2024-03-01,Asia Pacific,Fuel,Prepaid,812334,28.11,0.0142,324256.81,0.9186
2024-03-01,Latin America,Retail,Credit,2106989,87.81,0.0184,3404232.46,0.8658
2024-03-01,Latin America,Retail,Debit,1611756,43.29,0.018,1255832.78,0.8743
2024-03-01,Latin America,Retail,Prepaid,392795,29.3,0.0176,202529.57,0.8637
2024-03-01,Latin America,Travel,Credit,2253133,86.91,0.0225,4405734.46,0.8784
2024-03-01,Latin America,Travel,Debit,1646709,41.44,0.0224,1528429.38,0.8751
2024-03-01,Latin America,Travel,Prepaid,371841,27.87,0.022,228018.41,0.873
2024-03-01,Latin America,Dining,Credit,2154453,87.74,0.0196,3705044.54,0.8777
2024-03-01,Latin America,Dining,Debit,1436147,40.01,0.0192,1103101.62,0.8767
2024-03-01,Latin America,Dining,Prepaid,407161,27.22,0.02,221657.05,0.8624
2024-03-01,Latin America,Healthcare,Credit,2205281,83.32,0.0164,3013351.77,0.8684
2024-03-01,Latin America,Healthcare,Debit,1443852,41.18,0.0164,975068.82,0.8699
2024-03-01,Latin America,Healthcare,Prepaid,377214,26.98,0.0164,166905.76,0.8692
2024-03-01,Latin America,E-commerce,Credit,2153831,88.79,0.0244,4666264.15,0.8686
2024-03-01,Latin America,E-commerce,Debit,1591551,41.64,0.0235,1557490.38,0.863
2024-03-01,Latin America,E-commerce,Prepaid,402512,29.26,0.0239,281523.26,0.8619
2024-03-01,Latin America,Fuel,Credit,2053207,88.83,0.0145,2644594.11,0.8762
2024-03-01,Latin America,Fuel,Debit,1433943,42.19,0.0147,889253.04,0.8783
2024-03-01,Latin America,Fuel,Prepaid,394082,27.13,0.0144,153965.11,0.8634
2024-03-01,Middle East & Africa,Retail,Credit,1383370,86.38,0.018,2151007.02,0.8324
2024-03-01,Middle East & Africa,Retail,Debit,972484,43.2,0.0175,735275.12,0.8257
2024-03-01,Middle East & Africa,Retail,Prepaid,236917,26.79,0.0181,114889.86,0.8344
2024-03-01,Middle East & Africa,Travel,Credit,1249001,88.14,0.0216,2377943.13,0.8272
2024-03-01,Middle East & Africa,Travel,Debit,903599,39.91,0.0225,811448.13,0.8359
2024-03-01,Middle East & Africa,Travel,Prepaid,237673,27.3,0.0215,139511.53,0.8246
2024-03-01,Middle East & Africa,Dining,Credit,1344167,80.88,0.0189,2054643.02,0.8348
2024-03-01,Middle East & Africa,Dining,Debit,917446,40.63,0.0193,719456.01,0.8226
2024-03-01,Middle East & Africa,Dining,Prepaid,261746,28.69,0.0195,146424.2,0.8296
2024-03-01,Middle East & Africa,Healthcare,Credit,1368690,81.68,0.016,1788646.99,0.8301
2024-03-01,Middle East & Africa,Healthcare,Debit,1025844,43.19,0.0156,691169.61,0.8361
2024-03-01,Middle East & Africa,Healthcare,Prepaid,252864,29.3,0.016,118539.7,0.8227
2024-03-01,Middle East & Africa,E-commerce,Credit,1305993,86.58,0.0239,2702498.77,0.8298
2024-03-01,Middle East & Africa,E-commerce,Debit,1020372,40.24,0.0234,960782.37,0.8318
2024-03-01,Middle East & Africa,E-commerce,Prepaid,234488,28.37,0.0237,157676.99,0.8308
2024-03-01,Middle East & Africa,Fuel,Credit,1273747,85.26,0.0149,1618130.01,0.8292
2024-03-01,Middle East & Africa,Fuel,Debit,973753,42.85,0.0142,592464.55,0.8359
2024-03-01,Middle East & Africa,Fuel,Prepaid,258084,28.62,0.0147,108573.3,0.8253
2024-04-01,North America,Retail,Credit,6265932,83.63,0.0177,9275254.01,0.9591
2024-04-01,North America,Retail,Debit,4552690,41.69,0.0176,3340701.98,0.9632
2024-04-01,North America,Retail,Prepaid,1189976,29.18,0.0176,611224.87,0.9517
2024-04-01,North America,Travel,Credit,6650095,81.57,0.0215,11662751.41,0.9646
2024-04-01,North America,Travel,Debit,4844916,42.36,0.0221,4535934.82,0.9612
2024-04-01,North America,Travel,Prepaid,1181299,27.59,0.0215,700730.74,0.9632
2024-04-01,North America,Dining,Credit,6567762,86.88,0.0199,11354953.9,0.969
2024-04-01,North America,Dining,Debit,4688858,42.33,0.0193,3830403.47,0.9545
2024-04-01,North America,Dining,Prepaid,1244854,26.9,0.0192,643014.17,0.9666
2024-04-01,North America,Healthcare,Credit,6181066,85.63,0.0163,8627325.2,0.9659
2024-04-01,North America,Healthcare,Debit,4869567,43.34,0.0165,3482066.58,0.9622
2024-04-01,North America,Healthcare,Prepaid,1242127,29.2,0.0155,562214.33,0.9663
2024-04-01,North America,E-commerce,Credit,6079913,86.72,0.0235,12390796.3,0.9563
2024-04-01,North America,E-commerce,Debit,4496453,43.55,0.0233,4562976.96,0.9613
2024-04-01,North America,E-commerce,Prepaid,1195122,28.37,0.0235,796862.79,0.951
2024-04-01,North America,Fuel,Credit,6563546,84.32,0.0143,7914032.61,0.9569
2024-04-01,North America,Fuel,Debit,4518773,43.16,0.0147,2867124.56,0.9613
2024-04-01,North America,Fuel,Prepaid,1133755,27.04,0.0141,432271.92,0.9623
2024-04-01,Europe,Retail,Credit,4867990,86.38,0.0178,7484541.07,0.9397
2024-04-01,Europe,Retail,Debit,3428946,43.07,0.0178,2628834.2,0.9327
2024-04-01,Europe,Retail,Prepaid,900586,28.5,0.0178,456863.45,0.9397
2024-04-01,Europe,Travel,Credit,4862810,84.11,0.0214,8752807.14,0.9419
2024-04-01,Europe,Travel,Debit,3188413,40.79,0.0217,2822006.52,0.9332
2024-04-01,Europe,Travel,Prepaid,875172,26.62,0.0218,507907.67,0.9446
2024-04-01,Europe,Dining,Credit,4490406,86.73,0.0194,7555491.54,0.94
2024-04-01,Europe,Dining,Debit,3645640,40.2,0.0199,2916636.21,0.9468
2024-04-01,Europe,Dining,Prepaid,844100,29.18,0.0189,465510.95,0.9468
2024-04-01,Europe,Healthcare,Credit,4793569,86.78,0.0161,6697430.48,0.9385
2024-04-01,Europe,Healthcare,Debit,3247935,41.26,0.0155,2077354.57,0.9457
2024-04-01,Europe,Healthcare,Prepaid,928014,29.18,0.0193,522550.17,0.9323
2024-04-01,Europe,E-commerce,Credit,4997205,85.76,0.0236,10113481.3,0.9405
2024-04-01,Europe,E-commerce,Debit,3403319,41.33,0.0237,3333296.23,0.9369
2024-04-01,Europe,E-commerce,Prepaid,862437,26.92,0.024,557188.28,0.9402
2024-04-01,Europe,Fuel,Credit,5043762,86.93,0.0144,6313938.65,0.946
2024-04-01,Europe,Fuel,Debit,3635496,40.52,0.0143,2106280.74,0.9343
2024-04-01,Europe,Fuel,Prepaid,925722,28.44,0.0147,386952.49,0.9339
2024-04-01,Asia Pacific,Retail,Credit,4668313,87.16,0.018,7324257.3,0.9147
